id_writer,name_w
300855,Thomas Harris
300856,Steve Gerber
300857,George Langelaan
300858,Howard Ashman
300859,Paul Theroux
300861,Neal Jimenez
300862,Elizabeth McNeill
300865,S.S. Wilson
300867,Umberto Eco
300869,Walter Tevis
300870,Angelo Pizzo
300871,James Carabatsos
300872,Mark H. Baker
300873,Paula Gosling
300874,Jerry Leichtling
300876,Lizzie Borden
300878,Steve Martin
300881,Tom McLoughlin
300882,David Giler
300884,Philippe Djian
300886,Domonic Muir
300888,Kevin Alyn Elders
300892,Richard Fire
300893,Neil Jordan
300897,Eric Red
300898,Sam Bernard
300899,Judy Freudberg
300901,Luciano Vincenzoni
300903,Peter Young
300904,Dale Launer
300905,Ron Friedman
300906,Ezra Sacks
300907,John Carl Buechler
300908,Elliott Lewitt
300909,Nick Castle
300910,E. Max Frye
300912,John Fusco
300913,Jean M. Auel
300914,Spike Lee
300916,Lawrence Block
300917,Carol Black
300919,Mark Victor
300920,Leos Carax
300921,Charles Edward Pogue
300923,Masanori Hata
300924,Derek Jarman
300925,Mark Medoff
300926,Richard Blake
300927,Pedro Almodóvar
300928,René Fauchois
300929,Danilo Bach
300931,John Brownjohn
300933,Chris Bryant
300934,Harry Shearer
300935,Claude Berri
300936,Stephen Volk
300938,Robert T. Megginson
300939,Ronald Shusett
300940,Lucy Irvine
300941,George Gallo
300942,Walon Green
300944,Rhet Topham
300945,Shel Lytton
300946,David Franzoni
300947,Bill Phillips
300948,Edwin Blum
300949,Stephen Tobolowsky
300950,Raymond Briggs
300951,Gail Morgan Hickman
300952,Diana Henstell
300954,Tom DeSimone
300955,Leo Garen
300956,Donald P. Borchers
300957,Garry Marshall
300958,Ted Nicolaou
300959,Thomas Michael Donnelly
300962,William Mastrosimone
300963,Leonard Michaels
300964,Gene Wilder
300965,Marie Rivière
300966,James Orr
300967,Paul De Meo
300969,Robert Gosnell
300970,Laurie Craig
300971,Kevin Tenney
300972,Michael Frayn
300973,Ivan Reitman
300974,Lee David Zlotoff
300975,Rocco Urbisci
300976,Michael Patrick Goodman
300977,Evan Archerd
300978,James Cresson
300979,Beth Henley
300980,Becky Johnston
300981,David Parker
300982,Janis Allen
300983,Marco Bellocchio
300984,Colin MacInnes
300985,Jeffrey Delman
300986,James Booth
300987,William Goldman
300989,Barney Cohen
300990,Tony Kayden
300991,Emilio Estevez
300992,John Kohn
300993,David Himmelstein
300995,Mark Feldberg
300996,David Beaird
300997,W.E. Johns
300998,Edward Behr
300999,Moshé Mizrahi
301000,Denys Arcand
301001,Mark Griffiths
301002,Douglas Bowie
301005,Alan Friedman
301007,David Rayfiel
301008,Naomi Foner
301009,Bill Sherwood
301010,Steve Zacharias
301012,George Arthur Bloom
301013,Bob Weinstein
301014,Marsha Norman
301015,Wayne Crawford
301016,Paul Nicholas
301017,Ross Macdonald
301018,Milton Wexler
301019,Thom Keyes
301020,Bertrand Blier
301021,Jon Boorstin
301022,Scott Fields
301023,Julian Bond
301025,Leon Isaac Kennedy
301026,Renny Harlin
301027,Linda Remy
301029,Eliseo Subiela
301030,Kent Stowell
301031,Bruce Beresford
301033,Henning Carlsen
301034,Malcolm Barbour
301035,T.L. Lankford
301036,Tom Kempinski
301037,John Sheppard
301038,Richard Wesley
301041,Deran Sarafian
301042,Leo Fong
301043,Claude Lelouch
301045,Jan Fischer
301046,Stanley Kubrick
301047,Jim Thomas
301048,Edward Neumeier
301050,David Simkins
301054,Shane Black
301055,Kathryn Bigelow
301056,Edward Rugoff
301058,James Dearden
301059,Clive Barker
301060,Tom Stoppard
301061,Kenneth Fearing
301062,John Updike
301067,John Patrick Shanley
301069,Stanley Weiser
301070,Mitch Markowitz
301073,Michael Swerdlick
301074,Leslie Dixon
301083,Gary Conway
301084,Mark Peploe
301085,Bret Easton Ellis
301091,Wim Wenders
301093,James L. Brooks
301094,William Dear
301097,Carolyn Lefcourt
301098,Tab Murphy
301099,Virginia C. Andrews
301100,Mick Garris
301101,Edmond Rostand
301103,Stu Silver
301104,Michael Barrie
301107,Helene Hanff
301108,Michael Nankin
301109,John R. Cherry III
301110,Robert Altman
301114,Anne Holden
301115,Charles Bukowski
301118,Louis Malle
301119,Andrea Dunbar
301120,John Boorman
301121,Dick Wolf
301122,Elaine May
301123,Norman Mailer
301126,Linda Palmer
301128,Eleonore Adlon
301130,Richard Christian Matheson
301131,Alberto Piferi
301132,William Phelps
301133,Nicholas Conde
301135,Brian Garfield
301138,A.J. Quinnell
301139,Richard Sale
301141,James Komack
301142,Howard Franklin
301145,Andrew Smith
301146,John Milius
301148,Martin Andersen Nexø
301149,Eric Roth
301150,George Axelrod
301151,Janice Karman
301152,Tamar Simon Hoffs
301153,Ron Oliver
301154,Joe Menosky
301155,Manya Starr
301161,Denis Hamill
301162,Simon Gray
301164,Lorne Cameron
301165,Doug Lefler
301167,Clark Howard
301169,Irwin Yablans
301170,David Leland
301171,René Laloux
301172,David Freeman
301174,Walter Bernstein
301175,David Berry
301176,John Lahr
301177,Frank Deese
301178,Avi Kleinberger
301179,Marilynne Robinson
301180,Jack Higgins
301181,Don Keith Opper
301182,William P. Wood
301183,Mario Puzo
301184,Michael Hickey
301185,Dave Eisenstark
301186,Warren Chaney
301187,George R.R. Martin
301188,Bill Svanoe
301189,Patrice Chaplin
301192,James Fox
301193,China Kong
301195,Dom Irrera
301196,James Joyce
301197,Nicholas Proffitt
301198,Tom Topor
301200,Robert Klane
301202,Rudy Wurlitzer
301203,Christopher Frank
301204,Floyd Byars
301205,Bill Froehlich
301208,Michael Hoffman
301209,Marc Shmuger
301210,Maria Elena Cellino
301211,Leslie Ray
301212,Nicholas St. John
301214,Daniel Taplitz
301217,Paul Garson
301218,Richard Martini
301219,Charles Dickens
301220,John Duigan
301221,Peter Greenaway
301222,Joel Cohen
301223,Robert Kosberg
301224,Jerry Belson
301226,Alan Hines
301227,Andrey Konchalovskiy
301228,Diane Kurys
301230,Bigas Luna
301232,Aleksandr Adabashyan
301234,Stephen Carpenter
301235,Peter Del Monte
301236,Sheldon Lettich
301239,John Gatliff
301240,Lisa M. Hansen
301242,Tennessee Williams
301243,Yurek Bogayevicz
301244,Roderick Thorp
301246,Michael McDowell
301247,Gary Ross
301248,Barry Morrow
301250,Ray Nelson
301251,George Lucas
301253,Daniel Waters
301254,Eddie Murphy
301255,Gary K. Wolf
301257,Katsuhiro Ôtomo
301258,Giuseppe Tornatore
301259,Chris Gerolmo
301260,Don Mancini
301261,William Davies
301262,Jerry Zucker
301267,John Cleese
301268,Kevin Wade
301270,Nikos Kazantzakis
301271,Barry Strugatz
301275,Christopher Hampton
301276,Julie Brown
301277,John Waters
301281,Milan Kundera
301282,Theodore Simonson
301283,Jim Cox
301284,Zalman King
301285,Iris Rainer
301288,Anne Tyler
301289,Charles McKeown
301290,Charles Chiodo
301291,Dhani Lipsius
301292,Sam Egan
301294,Andrew Davis
301295,Mitch Glazer
301297,Keenen Ivory Wayans
301298,Ed Justin
301300,Daryl Haney
301301,Neil Tolkin
301302,Peter Atkins
301303,Roman Polanski
301304,Michael Schiffer
301305,Jerico Stone
301306,John Bryson
301307,Ken Russell
301310,Ken Wiederhorn
301311,Astrid Lindgren
301312,Eliot Asinof
301313,Ramón Menéndez
301319,Joe Augustyn
301321,Lanier Laney
301322,David Saperstein
301324,Anthony Hickox
301325,Jay Cronley
301326,Jeffrey Lau
301333,Wade Davis
