id_movie,score_num,year_released
402913,6.7,1996
402914,6.8,1996
402915,6.8,1996
402916,6.4,1996
402917,3.4,1996
402918,7.8,1996
402919,5.0,1996
402920,5.9,1996
402921,6.2,1996
402922,6.5,1996
402923,7.1,1996
402924,7.3,1996
402925,6.8,1996
402926,3.0,1996
402927,6.2,1996
402928,5.7,1996
402929,6.3,1996
402930,5.6,1996
402931,6.0,1996
402932,7.2,1996
402933,7.7,1996
402934,6.3,1996
402935,5.5,1996
402936,6.5,1996
402937,7.4,1996
402938,7.2,1996
402939,6.4,1996
402940,5.9,1996
402941,5.3,1996
402942,6.3,1996
402943,5.4,1996
402944,5.4,1996
402945,5.4,1996
402946,6.0,1996
402947,6.7,1996
402948,6.1,1996
402949,5.8,1996
402950,6.7,1996
402951,5.8,1996
402952,4.7,1996
402953,6.9,1996
402954,5.6,1996
402955,7.0,1996
402956,5.1,1996
402957,6.6,1996
402958,7.6,1996
402959,6.0,1996
402960,6.0,1996
402961,6.9,1996
402962,5.8,1996
402963,5.4,1996
402964,7.1,1996
402965,6.2,1996
402966,6.2,1996
402967,6.2,1996
402968,5.4,1996
402969,6.2,1996
402970,5.7,1996
402971,6.7,1996
402972,6.0,1996
402973,5.5,1996
402974,6.7,1996
402975,7.6,1996
402976,5.6,1996
402977,6.8,1996
402978,4.9,1996
402979,6.8,1996
402980,6.6,1996
402981,5.8,1996
402982,5.4,1996
402983,5.0,1996
402984,7.0,1996
402985,6.1,1996
402986,7.0,1996
402987,6.2,1996
402988,5.4,1996
402989,5.7,1996
402990,6.4,1996
402991,6.3,1996
402992,7.1,1996
402993,5.4,1996
402994,6.1,1996
402995,5.0,1996
402996,2.5,1996
402997,7.0,1996
402998,5.9,1996
402999,5.3,1996
403000,5.2,1996
403001,5.4,1996
403002,6.7,1996
403003,5.2,1996
403004,6.2,1996
403005,6.6,1996
403006,5.5,1996
403007,7.2,1996
403008,5.8,1996
403009,6.5,1996
403010,5.8,1996
403011,5.8,1996
403012,6.6,1996
403013,6.6,1996
403014,6.2,1996
403015,5.5,1996
403016,5.2,1996
403017,5.9,1996
403018,5.6,1996
403019,6.0,1996
403020,5.2,1996
403021,4.2,1996
403022,6.6,1996
403023,6.9,1996
403024,5.5,1996
403025,6.8,1996
403026,6.7,1996
403027,5.8,1996
403028,6.5,1996
403029,6.1,1996
403030,6.4,1996
403031,6.0,1996
403032,6.4,1996
403033,6.3,1996
403034,3.8,1996
403035,5.4,1996
403036,6.2,1996
403037,6.0,1996
403038,4.8,1996
403039,3.9,1996
403040,5.7,1996
403041,6.7,1996
403042,5.3,1996
403043,2.7,1996
403044,7.8,1997
403045,7.9,1997
