id_director,name_d
101228,Diane Kurys
101230,Bigas Luna
101232,Nikita Mikhalkov
101234,Stephen Carpenter
101235,Peter Del Monte
101237,Bill Condon
101239,Terry Leonard
101240,Dorothy Ann Puzo
101242,Paul Newman
101243,Yurek Bogayevicz
101252,John Cornell
101253,Michael Lehmann
101256,Donald Petrie
101257,Katsuhiro Ôtomo
101258,Giuseppe Tornatore
101262,David Zucker
101267,Charles Crichton
101269,Newt Arnold
101273,Peter MacDonald
101277,John Waters
101279,Ron Shelton
101283,George Scribner
101284,Zalman King
101290,Stephen Chiodo
101291,Dwight H. Little
101297,Keenen Ivory Wayans
101298,Stan Winston
101301,Greg Beeman
101302,Tony Randel
101304,Dennis Hopper
101309,Robert Bierman
101311,Ken Annakin
101313,Ramón Menéndez
101314,William Lustig
101321,Zelda Barron
101324,Anthony Hickox
101326,Kar-Wai Wong
101330,Bud S. Smith
101331,Francis Megahy
101332,Kenneth Johnson
101334,William Richert
101338,Carl Schultz
101343,Craig R. Baxley
101347,Frank LaLoggia
101352,David Green
101357,Mick Garris
101358,Mark Goldblatt
101360,Joan Freeman
101363,Paul Flaherty
101367,Geneviève Robert
101368,Rowdy Herrington
101370,Steven Kampmann
101371,Mira Nair
101372,Yahoo Serious
101374,Geoff Burrowes
101376,Roger Vadim
101377,Mike Leigh
101379,Bruno Nuytten
101381,Ken Kwapis
101382,Catherine Breillat
101383,Annabel Jankel
101384,Aaron Norris
101387,Jon Hess
101389,Camilo Vila
101390,Jim Wynorski
101392,Ernest Thompson
101395,Henry Winkler
101396,Claire Denis
101399,Andrew Fleming
101401,Bernard Rose
101403,James B. Harris
101404,Paul Golding
101405,Mike Figgis
101406,Matthew Chapman
101408,Gary Sinise
101409,Glenn Gordon Caron
101410,Joan Micklin Silver
101412,David Stevens
101415,Robert Englund
101416,James Dearden
101419,Keith Gordon
101422,William Webb
101423,Pen Densham
101424,Janet Greek
101426,Charles Sturridge
101427,Martin Campbell
101430,Gordon Hessler
101431,Marisa Silver
101435,Terence Davies
101437,Daniel Goldberg
101440,Christopher Crowe
101441,Bill Fishman
101442,Martin Donovan
101450,Ron Clements
101454,Joe Johnston
101458,Steven Soderbergh
101470,Jeremiah S. Chechik
101472,Cameron Crowe
101475,Eddie Murphy
101482,Jim Sheridan
101485,Richard Greenberg
101486,Todd Holland
101487,Jay Levey
101489,William Shatner
101495,Robert Radler
101496,Phillip Noyce
101497,Mark DiSalle
101501,Gus Van Sant
101502,Stephen Hopkins
101503,Marc Rocco
101504,Dominique Othenin-Girard
101510,Kenneth Branagh
101512,Rob Hedden
101515,Michael Caton-Jones
101516,Steve Kloves
101519,Chris Walas
101530,Joe Pytka
101532,John Dahl
101534,Michael Anderson
101537,Uli Edel
101538,Masami Hata
101549,Carl Schenkel
101551,Peter Bonerz
101553,David Webb Peoples
101555,Francis Veber
101557,Thomas J. Wright
101559,Larry Cohen
101560,Mick Jackson
101561,Jeff Burr
101563,Christopher Guest
101564,Bob Balaban
101566,Gary David Goldberg
101571,Norman René
101572,John Howley
101575,Euzhan Palcy
101577,Dave Thomas
101579,Hal Hartley
101581,James Isaac
101582,Mel Smith
101583,Michael Herz
101587,Takeshi Kitano
101589,Richard Baskin
101590,Jane Campion
101592,Thomas Schlamme
101593,Damian Harris
101597,Robert Wise
101598,Jim Wheat
101599,Jim Kouf
101601,Michael Schroeder
101602,Ildikó Enyedi
101604,Thierry Notz
101612,Cedric Sundstrom
101614,Will Mackenzie
101615,Gérard Kikoïne
101616,Robert Ellis Miller
101621,Jeff Blyth
101622,Patrice Leconte
101623,John D. Hancock
101628,Howard Brookner
101631,Lee Grant
101632,Michael A. Simpson
101633,David Odell
101636,Patrick Sheane Duncan
101638,Nancy Savoca
101639,Joel Zwick
101643,Michael Fischa
101649,Jerry Zucker
101650,Kevin Costner
101651,Ron Underwood
101661,Volker Schlöndorff
101672,Frank Marshall
101680,Harry Hook
101683,John Lafia
101684,John Patrick Shanley
101685,Richard Linklater
101688,William Peter Blatty
101691,Jack Nicholson
101692,Sheldon Lettich
101695,Dennis Dugan
101698,Hendel Butoy
101699,Reginald Hudlin
101701,Tom Savini
101706,Allan Moyle
101712,Frank Henenlotter
101718,Sally Mattison
101724,Luis Mandoki
101725,Abbas Kiarostami
101726,Howard Franklin
101727,Richard Stanley
101728,James Orr
101729,Andrew Bergman
101733,Ralph S. Singleton
101741,Tom Stoppard
101742,John Harrison
101745,Whit Stillman
101746,Agnieszka Holland
101747,Jean-Paul Rappeneau
101750,Anthony Minghella
101752,Bob Hathcock
101755,Joseph Barbera
101763,Bob Logan
101765,George Armitage
101769,Peter Israelson
101770,Robert Resnikoff
101773,Yimou Zhang
101774,Martin Sheen
101775,Adam Simon
101778,Tom Ropelewski
101782,Dario Argento
101786,Jan Egleson
101788,Roger Corman
101793,Franco Amurri
101795,Richard Correll
101797,Robert Shaye
101798,Ken Loach
101800,Patrick Read Johnson
101803,James Bond III
101804,James D. Parriott
101805,Yves Robert
101807,Katt Shea
101808,John Erman
101809,Greydon Clark
101817,Gregg Champion
101826,Cynthia Scott
101833,Kristine Peterson
101836,Jon Amiel
101837,Sondra Locke
101838,Christian Vincent
101839,Haruki Kadokawa
101841,Bernt Amadeus Capra
101842,Michael Verhoeven
101843,Guy Maddin
101848,John Singleton
101850,Bryan Gordon
101851,Barry Sonnenfeld
101853,Alfonso Cuarón
101856,Gary Trousdale
101857,Jon Avnet
101862,Peter Hewitt
101867,Michael Mak
101870,William A. Graham
101874,Ate de Jong
101879,Dan Aykroyd
101887,Krzysztof Kieslowski
101888,Mario Van Peebles
101889,Daniel Petrie Jr.
101894,Marc Caro
101896,Jack Bender
101897,Rachel Talalay
101909,Brian Levant
101913,Lili Fini Zanuck
101916,Isao Takahata
101917,Sean Penn
101918,Phil Nibbelink
101922,Stephen Poliakoff
101926,Michael Tolkin
101930,David Kellogg
101939,Burt Kennedy
101940,Mark Herrier
101941,Michael Karbelnikoff
101944,Terry Hughes
101948,Peter Chelsom
101954,Jodie Foster
101956,Bobcat Goldthwait
101959,Lars von Trier
101962,Tom DiCillo
101963,Jonathan Wacks
101967,Jerry Rees
101969,Todd Haynes
101972,Gabriele Salvatores
101973,George Jackson
101977,Simon Moore
101979,József Gémes
101986,Atom Egoyan
101988,Maurice Phillips
101990,Sylvio Tabet
101993,Bill Duke
101998,Jocelyn Moorhouse
102001,James Lapine
102003,Irwin Winkler
102004,Frank De Felitta
102006,Alain Corneau
102010,Eric Red
102011,Heywood Gould
102013,Kevin Hooks
102014,Mark Joffe
102016,George Gallo
102017,Jeffrey Hornaday
102018,Julie Dash
102023,Mary Agnes Donoghue
102024,Claude Chabrol
102029,Michael Lindsay-Hogg
102032,Radha Bharadwaj
102033,Avi Nesher
102034,Michael Bortman
102035,Rodman Flender
102036,Maurice Pialat
102038,Vicente Aranda
102039,Roberto Benigni
102044,Quentin Tarantino
102059,David Fincher
102069,Penelope Spheeris
102075,Roland Emmerich
102076,Fran Rubel Kuzui
102082,Kenny Ortega
102085,Peter Jackson
102088,Brett Leonard
102090,Les Mayfield
102093,Edward James Olmos
102094,Robert Rodriguez
102099,Bill Kroyer
102103,Ernest R. Dickerson
102106,Rémy Belvaux
102107,Jon Turteltaub
102115,David Price
102118,Baz Luhrmann
102120,Sally Potter
102122,Tony Maylam
102123,Phil Roman
102125,Geoffrey Wright
102130,Manny Coto
102140,Carl Franklin
102144,Eugene Levy
102146,Stanley Tong
102148,Bruce W. Smith
102152,Alfonso Arau
102155,Randall Miller
102157,Régis Wargnier
102159,Bruce A. Evans
102164,Dale Launer
102168,Stephen Milburn Anderson
102169,Brian Henson
102170,Claude Sautet
102171,Ryû Murakami
102174,Clarence Fok
102175,Chris Menges
102179,Fernando Trueba
102180,Tom Kalin
102184,Tim Robbins
102185,Darrell Roodt
102186,Roeland Kerbosch
102187,Alexandre Rockwell
102191,Craig Bolotin
102192,Allison Anders
102193,Martin Bell
102195,Arnaud Desplechin
102197,Nicole Conn
102202,Arne Glimcher
102204,Gillies MacKinnon
102206,Barnet Kellman
102207,Ming-liang Tsai
102209,Billy Crystal
102210,Ringo Lam
102212,Gregg Araki
102214,Tamra Davis
102216,Jean-Claude Lauzon
102219,Anthony Drazan
102220,Djibril Diop Mambéty
102223,Nick Gomez
102226,Shin'ya Tsukamoto
102227,Andy Wolk
102228,Mark Frost
102229,Arthur Allan Seidelman
102230,Vincent Ward
102232,Neal Jimenez
102234,Nora Ephron
102235,Barry Primus
102236,Charlie Peters
102237,Mark Herman
102239,Colin Nutley
102241,Hark Tsui
102242,Jacques Dorfmann
102245,David Mickey Evans
102252,Robert De Niro
102258,Marco Brambilla
102271,Henry Selick
102272,Daniel Stern
102280,Albert Hughes
102283,Duwayne Dunham
102288,John Woo
102292,Dominic Sena
102300,Alan Shapiro
102301,Gene Quintano
102306,Mark Jones
102312,Brian Yuzna
102313,Steven Zaillian
102314,Adam Marcus
102319,Roger Avary
102320,Guillermo del Toro
102322,Stephen Surjik
102324,Jennifer Lynch
102330,Joseph Vilsmaier
102331,Rob Bowman
102333,George Sluizer
102340,Andrew Birkin
102343,Tom Stern
102344,Thomas Carter
102346,Fraser C. Heston
102347,Victor Nunez
102349,Mel Gibson
102350,Kaige Chen
102351,Luis Llosa
102365,Robert Klane
102366,Jean-Marie Poiré
102367,Stephen Sommers
102369,Nicholas Kazan
102373,Bruce Joel Rubin
102379,John Whitesell
102381,Mike Binder
102382,Charles Grosvenor
102389,Richard Williams
102392,Anh Hung Tran
102395,Woo-Ping Yuen
102398,Sang-ok Shin
102402,Christopher Coppola
102404,Mikael Salomon
102406,Ang Lee
102408,Patrick Hasburgh
102409,Scott McGehee
102411,Jay Craven
102412,Leon Ichaso
102419,Nanni Moretti
102420,Marshall Herskovitz
102422,Daniel Algrant
102424,Kirk Wong
102426,Michael Steinberg
102427,Michael Lessac
102428,Gurinder Chadha
102429,Sam Shepard
102430,E. Max Frye
102431,Robert Young
102433,Yves Simoneau
102435,Stephen Cornwell
102437,Rusty Cundieff
102441,Billy Weber
102442,John Madden
102443,Warren Leight
102444,Frank Darabont
102449,Roger Allers
102451,Jan de Bont
102454,Peter Farrelly
102457,Alex Proyas
102461,Tom Shadyac
102463,Steven E. de Souza
102466,Sam Weisman
102468,Kevin Smith
102469,Jonathan Prince
102473,Stephan Elliott
102476,David Carson
102482,Ben Stiller
102483,Peter Segal
102491,Kim Henkel
102496,P.J. Hogan
102498,Rupert Wainwright
102501,Lee Tamahori
102508,John Pasquin
102510,Pixote Hunt
102511,Danny Boyle
102527,Jeremy Leven
102531,James Yukich
102533,Hart Bochner
102536,Nicholas Hytner
102537,Betty Kaplan
102541,Jeff Pollack
102543,Alek Keshishian
102545,Andrew Scheinman
102546,Steven Seagal
102549,Patrice Chéreau
102551,David O. Russell
102552,Chia-Liang Liu
102554,Nancy Meckler
102556,Richard Rich
102559,Adam Rifkin
102562,Jefery Levy
102563,Doug McHenry
102571,Andrew Morahan
102572,Michele Soavi
102573,Stephen Norrington
102576,Adam Resnick
102578,Caroline Thompson
102579,Charles Haid
102585,Allan A. Goldstein
102587,Jessie Nelson
102588,Ted Demme
102590,Charles T. Kanganis
102591,Adam Bernstein
102595,John Bailey
102597,James Gray
102600,Boaz Yakin
102601,Stuart Orme
102603,Iain Softley
102608,Eric Meza
102610,Rory Kelly
102611,Michael Austin
102615,George Huang
102618,Gary Jones
102620,Tia Brelis
102622,Gérard Corbiau
102623,Antonia Bird
102626,Milcho Manchevski
102628,John Roberts
102630,Geoff Burton
102632,Matty Rich
102637,Xavier Koller
102640,Kelly Reichardt
102649,Bryan Singer
102654,Larry Clark
102655,John Lasseter
102658,Paul W.S. Anderson
102664,F. Gary Gray
102667,Scott Kalvert
102668,Michael Bay
102670,Bryan Spicer
102678,Mathieu Kassovitz
102679,Brad Silberling
102680,Beeban Kidron
102681,Steven Brill
102683,Lesli Linka Glatter
102684,Mike Gabriel
102685,Kevin Lima
102686,John N. Smith
102690,Mamoru Oshii
102694,Chris Noonan
102696,Betty Thomas
102697,Robert Longo
102702,Danny Cannon
102706,Victor Salva
102712,Gregory Widen
102714,Steve Oedekerk
102718,Holly Goldberg Sloan
102720,Joe Chappelle
102725,Andy Tennant
102728,Melanie Mayron
